iter	RMSE
293	4.32574028
294	4.321854792
295	4.31741678
296	4.315955717
297	4.311954422
298	4.310490881
299	4.309298554
300	4.306329606
301	4.302707808
302	4.29915102
303	4.29398508
304	4.288980786
305	4.286999728
306	4.283519631
307	4.277797547
308	4.273371224
309	4.27243527
310	4.265840325
311	4.264280249
312	4.26294916
313	4.261918235
314	4.256647646
315	4.252796081
316	4.24652344
317	4.241780939
318	4.235522555
319	4.233840394
320	4.232543592
321	4.225294371
322	4.222347974
323	4.221823355
324	4.219650351
325	4.217714845
326	4.212478021
327	4.207000096
328	4.204265363
329	4.19978573
330	4.197898495
331	4.195140319
332	4.190907913
333	4.184938476
334	4.180736341
335	4.180406456
336	4.179633276
337	4.179461489
338	4.176725186
339	4.176035037
340	4.174256956
341	4.172654021
342	4.166060798
343	4.161130444
344	4.155214827
345	4.154235175
346	4.148597071
347	4.140996423
348	4.135824904
349	4.131934018
350	4.129764839
351	4.127696246
352	4.126045269
353	4.122177703
354	4.11864029
355	4.115447255
356	4.113378112
357	4.109572935
358	4.103865512
359	4.099132684
360	4.097525267
361	4.091551568
362	4.089717284
363	4.08811713
364	4.08438327
365	4.081407891
366	4.078959133
367	4.06941798
368	4.066364814
369	4.063258796
370	4.061124714
371	4.058608779
372	4.056957232
373	4.054372571
374	4.050096379
375	4.046777798
376	4.039466399
377	4.035918407
378	4.031524678
379	4.026270362
380	4.022455603
381	4.019577138
382	4.017772652
383	4.013957996
384	4.0137824
385	4.007957475
386	4.002873841
387	3.998743211
388	3.9950908
389	3.991174056
390	3.987028025
391	3.985500635
392	3.983642717
393	3.980780068
394	3.980496126
395	3.980224128
396	3.976821075
397	3.972064452
398	3.970297975
399	3.96917733
400	3.964505718
401	3.962874673
402	3.960031719
403	3.956908899
404	3.953585107
405	3.949998152
406	3.948636968
407	3.943585969
408	3.941425793
409	3.93828301
410	3.935059967
411	3.931874643
412	3.93109961
413	3.930034842
414	3.929175863
415	3.924535814
416	3.919419158
417	3.915644092
418	3.914101397
419	3.910181051
420	3.905565932
421	3.902870458
422	3.900208072
423	3.897860715
424	3.893126924
425	3.890995279
426	3.888730598
427	3.88799183
428	3.885326613
429	3.882862989
430	3.880675988
431	3.876431516
432	3.870586282
433	3.868426664
434	3.864514709
435	3.86212548
436	3.85765363
437	3.853566348
438	3.849915293
439	3.84796583
440	3.843827776
441	3.842029265
442	3.839504134
443	3.838816049
444	3.833540725
445	3.831610824
446	3.828634266
447	3.827255709
448	3.823151999
449	3.821905693
450	3.817741217
451	3.816031928
452	3.811174995
453	3.807845899
454	3.803723834
455	3.79797605
456	3.795613598
457	3.792078277
458	3.790061176
459	3.787471501
460	3.786800635
461	3.78154579
462	3.779769893
463	3.778924545
464	3.775598497
465	3.770975754
466	3.767225516
467	3.76527235
468	3.762500203
469	3.762386991
470	3.759021626
471	3.756923271
472	3.756084277
473	3.753086642
474	3.748517205
475	3.746895021
476	3.742812753
477	3.739087706
478	3.735308359
479	3.731474856
480	3.728872803
481	3.723138253
482	3.720517401
483	3.717778687
484	3.716104872
485	3.713232545
486	3.709848689
487	3.707279337
488	3.70578364
489	3.702986388
490	3.697983331
491	3.693277835
492	3.690766141
493	3.688097664
494	3.685237696
495	3.684756241
496	3.684515984
497	3.683230579
498	3.679679527
499	3.677561281
500	3.677053827
501	3.673534264
502	3.671695228
503	3.667544079
504	3.665139563
505	3.660492372
506	3.658822277
507	3.654962038
508	3.651561846
509	3.64982067
510	3.645452813
511	3.643148119
512	3.639453503
513	3.635549995
514	3.634597563
515	3.631842269
516	3.631602779
517	3.627884915
518	3.626756376
519	3.623777343
520	3.62287113
521	3.617593396
522	3.613837411
523	3.61071061
524	3.608474617
525	3.607872338
526	3.603690756
527	3.602975767
528	3.600541141
529	3.597653275
530	3.597136886
531	3.596367272
532	3.592848877
533	3.590341623
534	3.586988892
535	3.584747009
536	3.581032782
537	3.578283773
538	3.575856215
539	3.575559577
540	3.571909192
541	3.568365408
542	3.565594949
543	3.563289931
544	3.560487157
545	3.553677028
546	3.551134071
547	3.549947768
548	3.548616522
549	3.545453775
550	3.543336588
551	3.542596104
552	3.538435465
553	3.533870337
554	3.531196405
555	3.528395083
556	3.524849148
557	3.522136051
558	3.519473287
559	3.516938646
560	3.51212505
561	3.511715929
562	3.508691174
563	3.505107778
564	3.501084483
565	3.500585568
566	3.497144131
567	3.495026082
568	3.490985093
569	3.488644674
570	3.485988522
571	3.484159906
572	3.481885975
573	3.477774992
574	3.475940299
575	3.474462353
576	3.472875972
577	3.47154114
578	3.469529433
579	3.46551638
580	3.462813588
581	3.461725719
582	3.459085766
583	3.453981449
584	3.451938759
585	3.448711221
586	3.444505468
587	3.442552912
588	3.44194199
589	3.441469726
590	3.436951349
591	3.43487903
592	3.431098323
593	3.429490665
594	3.427654489
595	3.427487041
596	3.423189302
597	3.422638009
598	3.422063077
599	3.420160976
600	3.416473579
601	3.411390006
602	3.410948069
603	3.409016303
604	3.405161405
605	3.402836759
606	3.400405755
607	3.398911163
608	3.397406598
609	3.395180912
610	3.39273663
611	3.392564588
612	3.390500342
613	3.384873856
614	3.383340632
615	3.379621221
616	3.375228072
617	3.373696173
618	3.372052092
619	3.370259581
620	3.368347711
621	3.367099129
622	3.365630217
623	3.36406748
624	3.36245335
625	3.360691603
626	3.360483253
627	3.359022984
628	3.357226345
629	3.355518992
630	3.35415362
631	3.349420001
632	3.346678441
633	3.345162689
634	3.341768965
635	3.340729147
636	3.339979334
637	3.339351494
638	3.335591825
639	3.335384741
640	3.332535547
641	3.328362811
642	3.325168728
643	3.322207571
644	3.319136547
645	3.315939363
646	3.315364288
647	3.313858333
648	3.311151757
649	3.310376841
650	3.307158798
651	3.303000903
652	3.298709933
653	3.296796737
654	3.29486974
655	3.291285221
656	3.288862188
657	3.284913863
658	3.28373027
659	3.280643445
660	3.278879831
661	3.275454116
662	3.273900728
663	3.272130848
664	3.268677226
665	3.26734343
666	3.265840982
667	3.263010026
668	3.260436737
669	3.257319829
670	3.256599266
671	3.252460539
672	3.251139604
673	3.248285966
674	3.245555586
675	3.243457273
676	3.24060693
677	3.239722543
678	3.235782497
679	3.234103022
680	3.233095704
681	3.232406712
682	3.227483737
683	3.224702179
684	3.222211817
685	3.219041391
686	3.217400717
687	3.215174363
688	3.212113723
689	3.210483844
690	3.208557507
691	3.207182049
692	3.20671231
693	3.205637371
694	3.202615658
695	3.19942525
696	3.198485812
697	3.19425455
698	3.192609697
699	3.190932858
700	3.18866186
701	3.186051049
702	3.180847136
703	3.179818004
704	3.175558143
705	3.173204255
706	3.171459192
707	3.171129467
708	3.168133189
709	3.168034676
710	3.166474303
711	3.165014807
712	3.162977032
713	3.161255131
714	3.159288595
715	3.157360119
716	3.154720899
717	3.153316382
718	3.151685631
719	3.149175586
720	3.147559153
721	3.144325691
722	3.142938311
723	3.14271981
724	3.141048463
725	3.140430398
726	3.139400046
727	3.135548304
728	3.132064943
729	3.128228461
730	3.126863448
731	3.126557128
732	3.12441909
733	3.121690299
734	3.119753234
735	3.115786055
736	3.114463569
737	3.109188864
738	3.107850856
739	3.105695167
740	3.104684989
741	3.103557728
742	3.102767179
743	3.09938518
744	3.098728226
745	3.097466227
746	3.092829199
747	3.0903247
748	3.088554572
749	3.088229401
750	3.085199234
751	3.084616928
752	3.083584736
753	3.081092587
754	3.078738974
755	3.076286723
756	3.075102626
757	3.071219831
758	3.070610513
759	3.070029314
760	3.065823109
761	3.063225585
762	3.06130515
763	3.056711069
764	3.052124573
765	3.047853806
766	3.047585623
767	3.043563338
768	3.038958374
769	3.038277451
770	3.036460429
771	3.03522539
772	3.031384026
773	3.030343542
774	3.029135627
775	3.025595158
776	3.023813313
777	3.022352951
778	3.02186419
779	3.018462451
780	3.016510331
781	3.013447116
782	3.009743993
783	3.005690859
784	3.005432657
785	3.004220842
786	3.002910904
787	3.002110756
788	3.001299727
789	2.999920842
790	2.998996336
791	2.998261369
792	2.996796096
793	2.994302847
794	2.989822894
795	2.988215818
796	2.987962765
797	2.987713227
798	2.986486737
799	2.984108792
800	2.983888333
801	2.98356142
802	2.982272312
803	2.980328338
804	2.978642587
805	2.977406352
806	2.975893735
807	2.973370585
808	2.972196743
809	2.970620336
810	2.967974948
811	2.967113072
812	2.965521504
813	2.962009035
814	2.960638166
815	2.95767875
816	2.955246843
817	2.954522081
818	2.953830917
819	2.951320304
820	2.94865381
821	2.946336492
822	2.945415662
823	2.943572252
824	2.943200834
825	2.939555653
826	2.93532463
827	2.931470096
828	2.9280372
829	2.927287484
830	2.92457221
831	2.921822912
832	2.921672596
833	2.91965559
834	2.918509973
835	2.916095235
836	2.915407732
837	2.912636464
838	2.911050546
839	2.910188907
840	2.909103698
841	2.907334755
842	2.904263237
843	2.902605674
844	2.901303698
845	2.901061234
846	2.899442924
847	2.895480987
848	2.894283681
849	2.893197064
850	2.892603396
851	2.891564587
852	2.890093867
853	2.887958748
854	2.886932075
855	2.883977551
856	2.883608536
857	2.882366913
858	2.881618467
859	2.880579722
860	2.877184168
861	2.874928611
862	2.874199631
863	2.871841288
864	2.870870454
865	2.867991771
866	2.866856286
867	2.865084331
868	2.861398097
869	2.860199427
870	2.859666306
871	2.8567311
872	2.856431701
873	2.855940436
874	2.851600983
875	2.849742136
876	2.848494539
877	2.846637366
878	2.8443075
879	2.842546153
880	2.840716832
881	2.838677107
882	2.8353215
883	2.831992364
884	2.830705091
885	2.829364246
886	2.829123523
887	2.82740738
888	2.8269806
889	2.825427951
890	2.824648843
891	2.822855774
892	2.819971576
893	2.819625081
894	2.819220528
895	2.8176575
896	2.814041798
897	2.813865885
898	2.811115723
899	2.809629101
900	2.809039537
901	2.806366437
902	2.804255325
903	2.803002016
904	2.799593468
905	2.796684363
906	2.795399208
907	2.79370597
908	2.789736219
909	2.786560522
910	2.783801405
911	2.782214195
912	2.781387671
913	2.780241917
914	2.779016779
915	2.776530908
916	2.774388734
917	2.773742512
918	2.770644853
919	2.769705824
920	2.767334838
921	2.766308326
922	2.76356306
923	2.762087983
924	2.759957857
925	2.758551412
926	2.75750211
927	2.754119736
928	2.752415647
929	2.749771694
930	2.746352381
931	2.745766773
932	2.744742278
933	2.742868413
934	2.739854065
935	2.737920797
936	2.735567793
937	2.734906498
938	2.733519316
939	2.72987931
940	2.727888403
941	2.727448732
942	2.726678296
943	2.723717817
944	2.723533948
945	2.722549471
946	2.721788695
947	2.71958729
948	2.717253135
949	2.714481143
950	2.711527096
951	2.709016078
952	2.70889627
953	2.707829189
954	2.704925994
955	2.704289981
956	2.702628643
957	2.699579313
958	2.699057878
959	2.69641609
960	2.694092065
961	2.692306173
962	2.691162324
963	2.689999101
964	2.689207407
965	2.689044901
966	2.685766308
967	2.685240016
968	2.684717091
969	2.684622471
970	2.684422017
971	2.684289495
972	2.681184125
973	2.680084589
974	2.679458557
975	2.677845229
976	2.677691721
977	2.677185697
978	2.676242944
979	2.673614922
980	2.671246177
981	2.668742738
982	2.66809608
983	2.667843505
984	2.667332274
985	2.666955048
986	2.666713146
987	2.665616878
988	2.665021746
989	2.664265478
990	2.664022865
991	2.663895975
992	2.663155933
993	2.663105158
994	2.662009898
995	2.66087005
996	2.660601796
997	2.659655322
998	2.658468737
999	2.656038893
